Año,Dia,mes,c_autonoma,casos
2023,30,junio,Andalucía,1352
2023,30,junio,Aragón,12
2023,30,junio,Asturias,360
2023,30,junio,Canarias,1262
2023,30,junio,Cantabria,93
2023,30,junio,Castilla y León,563
2023,30,junio,Castilla La Mancha,377
2023,30,junio,Cataluña,1440
2023,30,junio,Ceuta,14
2023,30,junio,Comunidad Valenciana,806
2023,30,junio,Extremadura,275
2023,30,junio,Galicia,1167
2023,30,junio,Islas Baleares,91
2023,30,junio,La Rioja,38
2023,30,junio,Madrid,1369
2023,30,junio,Melilla,29
2023,30,junio,Murcia,194
2023,30,junio,Navarra,76
2023,30,junio,País Vasco,245
