Año,mes,dia,casos_enmillones
2021,junio,21,3.76
2021,junio,22,3.77
2021,junio,23,3.77
2021,junio,24,3.78
2021,junio,25,3.78
2021,junio,26,3.78
2021,junio,27,3.78
2021,junio,28,3.79
2021,junio,29,3.8
2021,junio,30,3.81
2021,julio,1,3.82
2021,julio,2,3.83
2021,julio,3,3.83
2021,julio,4,3.83
2021,julio,5,3.87
2021,julio,6,3.88
2021,julio,7,3.9
2021,julio,8,3.92
2021,julio,9,3.94
2021,julio,10,3.94
2021,julio,11,3.94
2021,julio,12,3.97
2021,julio,13,4.02
2021,julio,14,4.04
2021,julio,15,4.07
2021,julio,16,4.1
2021,julio,17,4.1
2021,julio,18,4.1
2021,julio,19,4.16
2021,julio,20,4.19
2021,julio,21,4.22
2021,julio,22,4.25
2021,julio,23,4.28
2021,julio,24,4.28
2021,julio,25,4.28
2021,julio,26,4.34
2021,julio,27,4.37
2021,julio,28,4.4
2021,julio,29,4.42
2021,julio,30,4.45
2021,julio,31,4.45
2021,agosto,1,4.45
2021,agosto,2,4.5
2021,agosto,3,4.52
2021,agosto,4,4.55
2021,agosto,5,4.57
2021,agosto,6,4.59
2021,agosto,7,4.59
2021,agosto,8,4.59
2021,agosto,9,4.63
2021,agosto,10,4.64
2021,agosto,11,4.66
2021,agosto,12,4.68
2021,agosto,13,4.69
2021,agosto,14,4.69
2021,agosto,15,4.69
2021,agosto,16,4.72
2021,agosto,17,4.73
2021,agosto,18,4.75
2021,agosto,19,4.76
2021,agosto,20,4.77
2021,agosto,21,4.77
2021,agosto,22,4.77
2021,agosto,23,4.79
2021,agosto,24,4.8
2021,agosto,25,4.82
2021,agosto,26,4.82
2021,agosto,27,4.83
2021,agosto,28,4.83
2021,agosto,29,4.83
2021,agosto,30,4.85
2021,agosto,31,4.86
2021,septiembre,1,4.86
2021,septiembre,2,4.87
2021,septiembre,3,4.88
2021,septiembre,4,4.88
2021,septiembre,5,4.88
2021,septiembre,6,4.89
2021,septiembre,7,4.89
2021,septiembre,8,4.9
2021,septiembre,9,4.9
2021,septiembre,10,4.91
2021,septiembre,11,4.91
2021,septiembre,12,4.91
2021,septiembre,13,4.92
2021,septiembre,14,4.92
2021,septiembre,15,4.92
2021,septiembre,16,4.93
2021,septiembre,17,4.93
2021,septiembre,18,4.93
2021,septiembre,19,4.93
2021,septiembre,20,4.94
2021,septiembre,21,4.94
2021,septiembre,22,4.94
2021,septiembre,23,4.94
2021,septiembre,24,4.95
2021,septiembre,25,4.95
2021,septiembre,26,4.95
2021,septiembre,27,4.95
2021,septiembre,28,4.95
2021,septiembre,29,4.96
2021,septiembre,30,4.96
2021,octubre,1,4.96
2021,octubre,2,4.96
2021,octubre,3,4.96
2021,octubre,4,4.97
2021,octubre,5,4.97
2021,octubre,6,4.97
2021,octubre,7,4.97
2021,octubre,8,4.97
2021,octubre,9,4.97
2021,octubre,10,4.97
2021,octubre,11,4.98
2021,octubre,12,4.98
2021,octubre,13,4.98
2021,octubre,14,4.98
2021,octubre,15,4.98
2021,octubre,16,4.98
2021,octubre,17,4.98
2021,octubre,18,4.99
2021,octubre,19,4.99
2021,octubre,20,4.99
2021,octubre,21,5
2021,octubre,22,5
2021,octubre,23,5
2021,octubre,24,5
2021,octubre,25,5
2021,octubre,26,5
2021,octubre,27,5.01
2021,octubre,28,5.01
2021,octubre,29,5.01
2021,octubre,30,5.01
2021,octubre,31,5.01
2021,noviembre,1,5.01
2021,noviembre,2,5.02
2021,noviembre,3,5.02
2021,noviembre,4,5.02
2021,noviembre,5,5.03
2021,noviembre,6,5.03
2021,noviembre,7,5.03
2021,noviembre,8,5.03
2021,noviembre,9,5.03
2021,noviembre,10,5.04
2021,noviembre,11,5.04
2021,noviembre,12,5.05
2021,noviembre,13,5.05
2021,noviembre,14,5.05
2021,noviembre,15,5.06
2021,noviembre,16,5.06
2021,noviembre,17,5.07
2021,noviembre,18,5.07
2021,noviembre,19,5.08
2021,noviembre,20,5.08
2021,noviembre,21,5.08
2021,noviembre,22,5.1
2021,noviembre,23,5.1
2021,noviembre,24,5.11
2021,noviembre,25,5.12
2021,noviembre,26,5.13
2021,noviembre,27,5.13
2021,noviembre,28,5.13
2021,noviembre,29,5.15
2021,noviembre,30,5.16
2021,diciembre,1,5.17
2021,diciembre,2,5.19
2021,diciembre,3,5.2
2021,diciembre,4,5.2
2021,diciembre,5,5.2
2021,diciembre,6,5.2
2021,diciembre,7,5.25
2021,diciembre,8,5.25
2021,diciembre,9,5.27
2021,diciembre,10,5.29
2021,diciembre,11,5.29
2021,diciembre,12,5.29
2021,diciembre,13,5.34
2021,diciembre,14,5.37
2021,diciembre,15,5.39
2021,diciembre,16,5.42
2021,diciembre,17,5.46
2021,diciembre,18,5.46
2021,diciembre,19,5.46
2021,diciembre,20,5.54
2021,diciembre,21,5.59
2021,diciembre,22,5.65
2021,diciembre,23,5.72
2021,diciembre,24,5.72
2021,diciembre,25,5.72
2021,diciembre,26,5.72
2021,diciembre,27,5.93
2021,diciembre,28,6.03
2021,diciembre,29,6.13
2021,diciembre,30,6.29
2022,enero,2,6.29
2022,enero,3,6.67
2022,enero,4,6.79
2022,enero,5,6.92
